movie_name,year,tags
bholaa,2023,action adventur crime get prison desir meet daughter bholaa plan interrupt wellorchestr drug bust ajay devgn ajay devgn tabu abhishek bachchan amala paul
om shanti om,2007,action comedi drama 1970 om aspir actor murder immedi reincarn present day attempt discov mysteri demis find shanti love previou life farah khan shah rukh khan deepika padukon arjun rampal kirron kher
kabhi khushi kabhie gham...,2001,drama music romanc marri poor woman rich rahul disown father move london build new life year later nowgrown younger brother rohan embark mission bring rahul back home reunit famili karan johar shah rukh khan kajol amitabh bachchan hrithik roshan
the kerala story,2023,drama convert muslim woman fatima ba narrat ordeal want becom nurs abduct home manipul religi vanguard turn isi terrorist land afghanistan jail sudipto sen vipul amrutl shah adah sharma yogita bihani sonia balani siddhi idnani
vikram vedha,2022,action crime drama tough polic offic set track kill equal tough gangster gayatri pushkar saif ali khan hrithik roshan radhika apt rohit saraf
"swades: we, the people",2004,drama music success indian scientist return indian villag take nanni america process rediscov root ashutosh gowarik shah rukh khan gayatri joshi kishori ballal smith seth
bajrangi bhaijaan,2015,action adventur comedi indian man magnanim heart take young mute pakistani girl back homeland reunit famili kabir khan mehmet tutkun salman khan harshaali malhotra nawazuddin siddiqui kareena kapoor
bloody daddy,2023,action crime drama mess tenaci man face cop crime lord save one relationship matter ali abba zafar shahid kapoor vivan bhatena diana penti ronit roy
the hundred-foot journey,2014,comedi drama kadam famili leav india franc open restaur directli across road madam mallori michelinstar eateri lass hallström helen mirren om puri manish dayal charlott le bon
the kashmir files,2022,drama heartwrench tale captur pain suffer struggl kashmiri pandit commun 1990 lead krishna young colleg student set quest uncov truth vivek agnihotri mithun chakraborti anupam kher darshan kumaar pallavi joshi
akelli,2023,drama thriller ordinari indian girl get trap wartorn land surviv battl pranay meshram nushrratt bharuccha amir boutrou nishant dahiya vijay kumar dogra
omg: oh my god!,2012,comedi drama fantasi shopkeep take god court shop destroy earthquak umesh shukla paresh rawal akshay kumar mithun chakraborti mahesh manjrekar
adipurush,2023,action adventur drama modern adapt indian epic ramayana follow exil princ raghav journey rescu wife janaki raakshash king lankesh om raut kriti sanon saif ali khan prabha devdutta nage
ib 71,2023,action thriller two front war indian intellig agenc pakistani establish sankalp reddi lee whittak anupam kher vidyut jammwal dalip tahil nissar khan
padmaavat,2018,drama histori romanc set mediev rajasthan queen padmavati marri nobl king live prosper fortress subject ambiti sultan hear padmavati beauti form obsess love queen mewar sanjay leela bhansali deepika padukon ranveer singh shahid kapoor aditi rao hydari
zindagi na milegi dobara,2011,comedi drama music three friend decid turn fantasi vacat realiti one friend get engag zoya akhtar hrithik roshan farhan akhtar abhay deol katrina kaif
jab tak hai jaan,2012,drama romanc uncompromis film true love legendari unforgett director yash chopra fascinatingli distinct contemporari yash chopra shah rukh khan katrina kaif anushka sharma luci phelp
monica o my darling,2022,comedi crime drama slick robot expert join murder plot passion affair take sudden turn noth even death seem vasan bala rajkummar rao huma qureshi sikandar kher bagavathi perum
bhediya,2022,comedi fantasi horror set forest arunach bhediya stori bhaskar man get bitten wolf begin transform creatur bhaskar buddi tri find answer bunch twist turn laugh ensu amar kaushik varun dhawan kriti sanon abhishek banerje deepak dobriy
ra.one,2011,action adventur scifi titular antagonist action game take physic form game less power protagonist save creator famili anubhav sinha shah rukh khan arjun rampal kareena kapoor shahana goswami
laal singh chaddha,2022,comedi drama romanc stori laal singh chaddha simpl man whose extraordinari journey fill love warmth happi advait chandan aamir khan ahmad ibn umar kareena kapoor hafsa ashraf
don 2,2011,action crime thriller turn escap vardhaan prison follow recruit team steal currenc print plate bank berlin farhan akhtar shah rukh khan florian luka om puri priyanka chopra jona
chup,2022,crime drama mysteri crime thriller polic hunt killer target film critic r balki dulquer salmaan shreya dhanwanthari sunni deol pooja bhatt
kuch kuch hota hai,1998,comedi drama music colleg year anjali love bestfriend rahul eye tina year later rahul nowdeceas tina eightyearold daughter attempt reunit father anjali karan johar shah rukh khan kajol rani mukerji sana saeed
don,2006,action crime thriller vijay recruit polic offic masquerad lookalik leader intern gang smuggler thing go wrong offic kill vijay left fend farhan akhtar shah rukh khan priyanka chopra jona arjun rampal isha koppikar
devdas,2002,drama music romanc wealthi famili prohibit marri woman love devda mukherje life spiral control take alcohol life vice numb pain sanjay leela bhansali shah rukh khan aishwarya rai bachchan madhuri dixit jacki shroff
badla,2019,crime drama mysteri dynam young entrepreneur find lock hotel room corps dead lover hire prestigi lawyer defend work togeth figur actual happen sujoy ghosh amitabh bachchan taapse pannu amrita singh antonio aakeel
gumraah,2023,action crime drama murder investig young man take unexpect turn cop discov prime suspect lookalik vardhan ketkar aditya roy kapoor mrunal thakur ronit roy vedika pinto
the lunchbox,2013,drama romanc mistaken deliveri mumbai famous effici lunchbox deliveri system connect young housewif older man dusk life build fantasi world togeth note lunchbox ritesh batra irrfan khan nimrat kaur nawazuddin siddiqui lillet dubey
zara hatke zara bachke,2023,comedi drama famili kapil somya happili marri coupl indor live joint famili decid get divorc one fine day thing dont go plan famili get know thu begin comedi error laxman utekar vicki kaushal sara ali khan inaamulhaq sushmita mukherje
street fighter: the legend of chun-li,2009,action crime fantasi child chunli see father captur wealthi gangster bison grow goe quest justic bring crimin organ shadaloo led bison andrzej bartkowiak kristin kreuk neal mcdonough michael clark duncan chri klein
ganapath,2023,action drama scifi dystopian futur ganapath relentless skill vigilant embark mission dismantl power crimin empir grip citi fear ganapath becom symbol hope oppress lead dark vika bahl tiger shroff himanshu jaykar kriti sanon amitabh bachchan
kalki 2898-ad,2024,action drama fantasi modernday avatar vishnu hindu god believ descend earth protect world evil forc nag ashwin deepika padukon amitabh bachchan dulquer salmaan disha patani
kal ho naa ho,2003,comedi drama music naina introvert perpetu depress girl life chang meet aman aman secret chang live forev embroil rohit naina best friend conceal love nikkhil advani preiti g zinta shah rukh khan saif ali khan jaya bachchan
bride & prejudice,2004,comedi drama music modern adapt jane austen classic novel pride prejudic featur live four unmarri daughter indian famili gurind chadha martin henderson aishwarya rai bachchan nadira babbar anupam kher
the white tiger,2021,crime drama ambiti indian driver use wit cun escap poverti rise top epic journey base new york time bestsel ramin bahrani adarsh gourav rajkummar rao priyanka chopra jona vedant sinha
lust stories 2,2023,drama romanc four emin indian director explor sex desir love short film sequel 2018 emmynomin lust stori r balki sujoy ghosh amit ravindernath sharma konkona sen sharma tamannaah bhatia vijay varma neena gupta mrunal thakur
bajirao mastani,2015,action drama histori account romanc maratha gener baji rao mastani princess bundelkhand sanjay leela bhansali ranveer singh deepika padukon priyanka chopra jona tanvi azmi
kaun?,1999,mysteri thriller alon hous woman hear news serial killer loos stranger ring doorbel ram gopal varma urmila matondkar manoj bajpaye sushant singh
dear zindagi,2016,drama romanc kaira bud cinematograph search perfect life encount jug unconvent thinker help gain new perspect life discov happi find comfort life imperfect gauri shind alia bhatt shah rukh khan kunal kapoor priyanka moodley
chhichhore,2019,comedi drama romanc tragic incid forc anirudh middleag man take trip memori lane reminisc colleg day along friend label loser nitesh tiwari sushant singh rajput shraddha kapoor varun sharma prateik patil babbar
freddy,2022,drama mysteri romanc line love obsess blur romant thriller pack unpredict twist sharp turn shashanka ghosh kartik aaryan alaya f karan pandit sajjad delafrooz
yeh jawaani hai deewani,2013,comedi drama music kabir naina bond trek trip naina express kabir leav india pursu career meet year later still cherish dream bond ayan mukerji ranbir kapoor deepika padukon aditya roy kapoor kalki koechlin
sir,2018,drama romanc prosper young indian man fall love servant widow dream becom fashion design rohena gera tillotama shome vivek gomber geetanjali kulkarni rahul vohra
mrs. chatterjee vs. norway,2023,biographi drama immigr indian mother battl norwegian foster care system local legal machineri win back custodi children ashima chibber rani mukerji jim sarbh bodhisattwa majumdar saswati guhathakurta
munna bhai m.b.b.s.,2003,comedi drama gangster set fulfil father dream becom doctor rajkumar hirani sanjay dutt arshad warsi graci singh boman irani
fan,2016,action drama thriller gaurav world revolv around superstar aryan khanna happen passion turn danger obsess cross fine line maneesh sharma shah rukh khan shriya pilgaonkar sayani gupta waluscha dsouza
welcome to the jungle,2024,polic offic jay bakshi sandhya given task track notori crimin raj solanki thing take unexpect turn jay find raj play signific role life ahm khan akshay kumar sanjay dutt disha patani jacquelin fernandez
vikram vedha,2017,action crime drama vikram nononsens polic offic accompani simon partner hunt captur vedha smuggler murder vedha tri chang vikram life lead conflict gayatri pushkar gowtham selvaraj madhavan vijay sethupathi shraddha srinath kathir
lagaan: once upon a time in india,2001,drama music sport peopl small villag victorian india stake futur game cricket ruthless british ruler ashutosh gowarik aamir khan raghubir yadav graci singh rachel shelley
trial period,2023,comedi drama work singl mother world turn upsid inquisit son demand new papa 30day trial period aleya sen genelia deshmukh manav kaul shakti kapoor sheeba chaddha
kathal: a jackfruit mystery,2023,comedi crime drama local politician whose prize jackfruit go miss young polic offic adam solv bizarr case prove yashowardhan mishra sanya malhotra joshi anantvijay vijay raaz rajpal naurang yadav
sardar udham,2021,biographi crime drama biopic detail 2 decad punjabi sikh revolutionari udham singh spent plan assassin man respons jallianwala bagh massacr shoojit sircar vicki kaushal shaun scott stephen hogan amol parashar
