movie_name,year,tags
"swades: we, the people",2004,drama musical a successful indian scientist returns to an indian village to take his nanny to america with him and in the process rediscovers his roots. ashutosh gowariker shah rukh khan gayatri joshi kishori ballal smith seth 
bajrangi bhaijaan,2015,"action adventure comedy an indian man with a magnanimous heart takes a young mute pakistani girl back to her homeland to reunite her with her family. kabir khan, mehmet tutkun salman khan harshaali malhotra nawazuddin siddiqui kareena kapoor "
bloody daddy,2023,"action crime drama a messed up, tenacious man faces off against cops and crime lords to save the one relationship that matters to him. ali abbas zafar shahid kapoor vivan bhatena diana penty ronit roy "
the hundred-foot journey,2014,comedy drama the kadam family leaves india for france where they open a restaurant directly across the road from madame mallory's michelin-starred eatery. lasse hallström helen mirren om puri manish dayal charlotte le bon 
the kashmir files,2022,"drama a heart-wrenching tale that captures the pain, suffering, and struggle of the kashmiri pandit community in 1990 and leads krishna, a young college student, to set out on a quest to uncover the truth. vivek agnihotri mithun chakraborty anupam kher darshan kumaar pallavi joshi "
akelli,2023,drama thriller an ordinary indian girl gets trapped in a war-torn land and survival is her battle. pranay meshram nushrratt bharuccha amir boutrous nishant dahiya vijay kumar dogra 
omg: oh my god!,2012,comedy drama fantasy a shopkeeper takes god to court when his shop is destroyed by an earthquake. umesh shukla paresh rawal akshay kumar mithun chakraborty mahesh manjrekar 
adipurush,2023,action adventure drama a modern adaptation of the indian epic ramayana which follows the exiled prince raghav's journey to rescue his wife janaki from the raakshash king lankesh. om raut kriti sanon saif ali khan prabhas devdutta nage 
ib 71,2023,"action thriller a two- front war between indian intelligence agencies and the pakistani establishment. sankalp reddy, lee whittaker anupam kher vidyut jammwal dalip tahil nissar khan "
padmaavat,2018,"drama history romance set in medieval rajasthan, queen padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious sultan hears of padmavati's beauty and forms an obsessive love for the queen of mewar. sanjay leela bhansali deepika padukone ranveer singh shahid kapoor aditi rao hydari "
zindagi na milegi dobara,2011,comedy drama musical three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged. zoya akhtar hrithik roshan farhan akhtar abhay deol katrina kaif 
jab tak hai jaan,2012,drama romance an uncompromising film on true love from the legendary and unforgettable director yash chopra which is fascinatingly distinctive and contemporary. yash chopra shah rukh khan katrina kaif anushka sharma lucy phelps 
monica o my darling,2022,"comedy crime drama a slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be. vasan bala rajkummar rao huma qureshi sikandar kher bagavathi perumal "
bhediya,2022,"comedy fantasy horror set in the forests of arunachal, bhediya is a story of bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. as bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue. amar kaushik varun dhawan kriti sanon abhishek banerjee deepak dobriyal "
ra.one,2011,"action adventure sci-fi when the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family. anubhav sinha shah rukh khan arjun rampal kareena kapoor shahana goswami "
laal singh chaddha,2022,"comedy drama romance the story of laal singh chaddha, a simple man whose extraordinary journey will fill you with love, warmth and happiness. advait chandan aamir khan ahmad ibn umar kareena kapoor hafsa ashraf "
don 2,2011,"action crime thriller don turns himself in and escapes with vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in berlin. farhan akhtar shah rukh khan florian lukas om puri priyanka chopra jonas "
chup,2022,crime drama mystery a crime thriller in which police are on the hunt for a killer who is targeting film critics. r. balki dulquer salmaan shreya dhanwanthary sunny deol pooja bhatt 
kuch kuch hota hai,1998,"comedy drama musical during their college years, anjali was in love with her best-friend rahul, but he had eyes only for tina. years later, rahul and the now-deceased tina's eight-year-old daughter attempts to reunite her father and anjali. karan johar shah rukh khan kajol rani mukerji sana saeed "
don,2006,"action crime thriller vijay is recruited by a police officer to masquerade as his lookalike don, the leader of an international gang of smugglers. things go wrong when the officer is killed and vijay is left to fend for himself. farhan akhtar shah rukh khan priyanka chopra jonas arjun rampal isha koppikar "
devdas,2002,"drama musical romance after his wealthy family prohibits him from marrying the woman he is in love with, devdas mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain. sanjay leela bhansali shah rukh khan aishwarya rai bachchan madhuri dixit jackie shroff "
badla,2019,crime drama mystery a dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. she hires a prestigious lawyer to defend her and they work together to figure out what actually happened. sujoy ghosh amitabh bachchan taapsee pannu amrita singh antonio aakeel 
gumraah,2023,action crime drama the murder investigation of a young man takes an unexpected turn when the cops discover that the prime suspect has a lookalike. vardhan ketkar aditya roy kapoor mrunal thakur ronit roy vedika pinto 
the lunchbox,2013,drama romance a mistaken delivery in mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox. ritesh batra irrfan khan nimrat kaur nawazuddin siddiqui lillete dubey 
zara hatke zara bachke,2023,"comedy drama family kapil and somya are a happily married couple from indore who live in a joint family and decide to get a divorce one fine day. things don't go as planned as their family gets to know of it, and thus begins a comedy of errors. laxman utekar vicky kaushal sara ali khan inaamulhaq sushmita mukherjee "
street fighter: the legend of chun-li,2009,"action crime fantasy when a child, chun-li sees her father being captured by wealthy gangster bison. when she grows up, she goes into a quest for justice and bring down the criminal organization shadaloo which is led by bison. andrzej bartkowiak kristin kreuk neal mcdonough michael clarke duncan chris klein "
ganapath,2023,"action drama sci-fi in a dystopian future, ganapath, a relentless and skilled vigilante, embarks on a mission to dismantle a powerful criminal empire that has gripped the city in fear, ganapath becomes a symbol of hope for the oppressed in which leads dark. vikas bahl tiger shroff himanshu jaykar kriti sanon amitabh bachchan "
kalki 2898-ad,2024,"action drama fantasy a modern-day avatar of vishnu, a hindu god, who is believed to have descended to earth to protect the world from evil forces. nag ashwin deepika padukone amitabh bachchan dulquer salmaan disha patani "
kal ho naa ho,2003,"comedy drama musical naina, an introverted, perpetually depressed girl's life changes when she meets aman. but aman has a secret of his own which changes their lives forever. embroiled in all this is rohit, naina's best friend who conceals his love for her. nikkhil advani preity g zinta shah rukh khan saif ali khan jaya bachchan "
bride & prejudice,2004,"comedy drama musical a modern adaptation of jane austen's classic novel, pride and prejudice, that features the lives of four unmarried daughters in an indian family. gurinder chadha martin henderson aishwarya rai bachchan nadira babbar anupam kher "
the white tiger,2021,crime drama an ambitious indian driver uses his wit and cunning to escape from poverty and rise to the top. an epic journey based on the new york times bestseller. ramin bahrani adarsh gourav rajkummar rao priyanka chopra jonas vedant sinha 
lust stories 2,2023,"drama romance four eminent indian directors explore sex, desire and love through short films in this sequel to 2018's emmy-nominated ""lust stories"". r. balki, sujoy ghosh, amit ravindernath sharma, konkona sen sharma tamannaah bhatia vijay varma neena gupta mrunal thakur "
bajirao mastani,2015,"action drama history an account of the romance between the maratha general, baji rao i and mastani, princess of bundelkhand. sanjay leela bhansali ranveer singh deepika padukone priyanka chopra jonas tanvi azmi "
